Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc,Embedding
MLPClassifier_df_cv,41.01904678344727,0.71675,0.7325063174886972,0.7172291578180741,0.7102509779561702,0.7958048981001247,0.71426,0.7308392137181281,0.7140820266805801,0.7077870779447267,0.7959649272827369,_df_cv
LogisticRegression_count,4.762278318405151,0.997125,0.9970007498125468,0.99725,0.9971253593300836,0.9999135225,0.8806,0.8771304003170829,0.8852,0.8811467250647024,0.94674952,_count
SGDClassifier_count,0.8478140830993652,0.99285,0.9895698817919936,0.9962,0.9928738725270344,0.9992634925,0.8727,0.8565142529175436,0.8954,0.8755255695707441,0.9393476000000002,_count
LinearSVC_count,66.56229782104492,1.0,1.0,1.0,1.0,1.0,0.8625,0.8598372046853285,0.8662,0.8630068745641127,0.92974936,_count
MultinomialNB_count,0.0448114871978759,0.88145,0.8782725109083697,0.88565,0.8819458275243975,0.94365155,0.8668,0.8665067945643485,0.8672,0.8668532586965214,0.9307076,_count
ComplementNB_count,0.044574499130249,0.88145,0.8782725109083697,0.88565,0.8819458275243975,0.94365229,0.8668,0.8665067945643485,0.8672,0.8668532586965214,0.9307076,_count
BernoulliNB_count,0.0688536167144775,0.885425,0.8758960355000731,0.8981,0.8868590613967956,0.94908933,0.8679,0.8620350324739224,0.876,0.868961412558278,0.9366718,_count
DecisionTreeClassifier_count,108.11008882522584,1.0,1.0,1.0,1.0,1.0,0.7306,0.7313402889245586,0.729,0.7301682692307693,0.7306,_count
RandomForestClassifier_count,82.98378801345825,1.0,1.0,1.0,1.0,1.0,0.8556,0.8590468497576736,0.8508,0.854903536977492,0.93074066,_count
ExtraTreesClassifier_count,113.97997117042542,1.0,1.0,1.0,1.0,1.0,0.8734,0.8782414910858996,0.867,0.8725845410628019,0.94354436,_count
GradientBoostingClassifier_count,64.64866995811462,0.815375,0.7842624723962324,0.8701,0.8249543719926995,0.90343559125,0.811,0.778374507697816,0.8696,0.8214623087096165,0.8964149399999999,_count
AdaBoostClassifier_count,15.867100954055786,0.754375,0.7145447644751823,0.8472,0.7752384874064924,0.82177175875,0.756,0.7159244264507423,0.8488,0.7767203513909224,0.8235524999999999,_count
MLPClassifier_count,239.58779859542847,1.0,1.0,1.0,1.0,1.0,0.8733,0.871295006962403,0.876,0.8736411688441209,0.94025694,_count
LogisticRegression_count_cv,47.847317934036255,0.997285,0.9969719794252392,0.9976001544001212,0.997285951358837,0.9999180044100846,0.8806799999999999,0.8768475608341786,0.8857509442083173,0.8812747363550246,0.946629528454005,_count_cv
SGDClassifier_count_cv,10.621294260025024,0.993735,0.992973464948992,0.9945100944789186,0.9937395969088748,0.9992837493661004,0.87286,0.869108348220118,0.8780504229754984,0.8734818172900667,0.940316042557076,_count_cv
LinearSVC_count_cv,569.322500705719,1.0,1.0,1.0,1.0,1.0,0.8602399999999999,0.858231454783829,0.8630257042220915,0.8606187922090639,0.9302342153543048,_count_cv
MultinomialNB_count_cv,0.8397507667541504,0.88209,0.8798039888678952,0.8851009477760379,0.8824437563052658,0.9437609853105456,0.8656200000000001,0.8619903386010501,0.8706464679644877,0.8662883369070986,0.929283025913896,_count_cv
